@relation camel.1.4
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute defects numeric
@data
3,3,0,5,7,0,1,4,1,0,24,1,1,0.916666667,0.5,1,1,6.666666667,1,0.6667,0
4,6,0,3,9,0,1,2,4,0.666666667,45,1,1,0.85,0.4375,0,0,9.5,1,0.75,0
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
22,4,0,14,66,151,3,14,11,0.852813853,603,1,1,0.62962963,0.164502165,1,1,25.90909091,15,2.6818,8
1,1,0,6,1,0,6,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,3,0,2,4,1,1,1,3,0.5,15,1,0,0.818181818,0.666666667,0,0,3.666666667,1,0.6667,0
5,1,0,1,6,6,1,0,5,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,0
15,1,0,22,47,81,2,20,14,0.867346939,218,1,0,0,0.1875,0,0,13.06666667,2,0.9333,0
4,5,0,2,11,0,1,1,4,0.5,52,1,0,0.85,0.5,0,0,11.5,2,1,0
7,1,2,4,8,11,2,2,7,0.777777778,37,1,1,0,0.357142857,0,0,3.857142857,1,0.8571,0
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,5,10,0,1,4,1,0,42,1,0,0.875,0.6,0,0,19.5,3,1.5,0
2,1,0,3,3,1,2,1,2,2,6,0,0,0,0.75,0,0,2,1,0.5,0
14,2,1,6,22,27,5,1,14,0.798076923,176,1,0,0.1875,0.535714286,0,0,11,5,1.2857,0
1,1,0,6,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,0
10,2,0,11,24,1,1,10,6,0.638888889,126,1,3,0.619047619,0.277777778,1,1,11.2,2,0.9,0
7,3,0,14,27,13,5,11,3,0.722222222,95,1,2,0.814814815,0.388888889,1,1,12.14285714,1,0.7143,0
4,3,0,1,5,4,0,1,3,0.666666667,16,1,1,0.962264151,0.666666667,1,1,2.75,1,0.5,0
24,2,36,53,61,256,38,16,16,0.804347826,301,1,1,0.382352941,0.316770186,1,1,11.375,3,1,5
2,1,0,2,5,1,1,1,2,2,16,0,0,0,0.666666667,0,0,7,3,1.5,0
3,4,0,3,5,3,0,3,3,2,12,0,0,0.987096774,0.666666667,1,2,3,1,0.6667,0
2,1,0,2,2,1,2,0,2,2,2,0,0,0,0.75,0,0,0,1,1,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,3,0,4,6,3,1,4,2,2,16,0,0,0.971428571,0.5,1,1,4.333333333,1,0.3333,0
17,0,0,25,46,102,4,23,9,0.890625,229,0.5,4,0,0.173611111,0,0,12,3,1.2353,0
9,1,0,1,14,4,1,0,9,0.625,59,1,0,0,0.288888889,0,0,5.222222222,1,0.7778,0
10,1,3,12,29,21,3,9,6,0.722222222,151,0.75,1,0,0.37037037,0,0,13.7,1,0.6,2
5,1,0,0,7,0,0,0,5,0.5,32,1,0,0,0.466666667,0,0,5,1,0.8,0
2,1,0,1,7,1,0,1,2,2,26,0,0,0,0.75,0,0,12,1,0.5,0
6,6,0,3,16,7,1,2,5,0.8,80,1,0,0.791666667,0.416666667,0,0,11.66666667,3,1.1667,0
6,2,0,5,16,7,1,5,2,0.7,59,1,0,0.6,0.36,1,1,8.5,2,0.8333,0
3,1,0,0,13,3,0,0,3,2,57,0,0,0,0.444444444,0,0,18,1,0.6667,0
30,1,0,41,61,435,18,29,29,2,193,0,0,0,0.133333333,0,0,5.433333333,1,0.9667,3
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
15,1,1,7,25,75,1,6,12,0.803571429,139,1,1,0,0.276190476,0,0,8,2,1,0
6,2,0,11,27,0,2,11,3,0.7,115,1,2,0.764705882,0.466666667,1,2,17.5,2,0.8333,2
8,1,0,5,12,24,3,3,7,0.714285714,68,1,0,0,0.541666667,0,0,7.25,2,1.25,0
9,1,0,9,28,12,3,9,7,0.65,224,1,4,0,0.275,0,0,23.33333333,4,1.3333,0
4,2,0,11,7,0,7,6,4,0,34,1,1,0.95,0.541666667,0,0,7.25,1,0.5,0
3,3,0,6,8,3,1,6,2,2,22,0,0,0.970588235,0.666666667,1,1,6.333333333,1,0.3333,0
13,3,0,34,77,46,3,33,2,0.777777778,672,1,0,0.772727273,0.305555556,2,2,50.46153846,5,2.1538,0
2,1,0,18,2,1,18,0,2,2,2,0,0,0,0.833333333,0,0,0,1,1,0
6,1,0,3,14,13,1,2,4,0.4,57,1,0,0,0.666666667,0,0,8.333333333,3,1,0
2,0,0,3,5,1,0,3,2,2,12,0,0,0,1,0,0,5,1,0.5,0
13,1,3,4,26,58,3,1,10,0.777777778,112,1,1,0,0.472222222,0,0,7.384615385,2,1.0769,1
7,3,0,6,12,9,2,4,5,0.5,52,1,0,0.84375,0.30952381,1,4,6.285714286,2,1,0
2,1,0,2,2,1,1,1,2,2,2,0,0,0,1,0,0,0,1,1,0
49,1,0,20,93,1044,8,17,42,0.915277778,620,1,3,0,0.128728414,0,0,11.34693878,6,1.4082,0
6,3,0,5,11,7,2,3,5,0.866666667,46,0.666666667,1,0.761904762,0.583333333,0,0,6.166666667,2,1,0
38,1,0,109,111,697,105,4,36,0.918918919,923,1,0,0,0.090733591,0,0,23.26315789,8,3.1579,5
7,3,0,10,14,1,6,5,5,0.333333333,45,1,1,0.785714286,0.428571429,1,1,5.285714286,1,0.8571,0
19,3,0,16,26,157,4,15,18,0.944444444,111,1,0,0.642857143,0.215277778,1,1,4.526315789,1,0.7895,0
57,1,0,14,94,1484,1,13,45,0.666666667,738,1,0,0,0.125,0,0,11.84210526,6,1.2105,0
17,1,0,8,32,82,3,7,13,0.84375,162,1,1,0,0.183006536,0,0,8.176470588,3,1.1765,5
14,4,0,10,27,33,1,9,14,0.653846154,167,1,0,0.932926829,0.3,1,1,10.64285714,5,1.2857,1
4,0,0,10,17,2,1,9,3,0.666666667,71,1,2,0,0.833333333,0,0,16,1,0.5,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
12,1,0,7,22,60,0,7,12,0.727272727,63,1,1,0,0.106060606,0,0,4.166666667,1,0.9167,0
2,1,0,6,8,1,0,6,2,2,23,0,0,0,0.75,0,0,10.5,1,0.5,0
10,3,0,8,46,11,1,8,3,0.80952381,334,1,1,0.714285714,0.314814815,1,1,31.7,1,0.8,0
17,2,0,2,18,120,1,1,17,0.9375,84,1,0,0.111111111,0.367647059,0,0,3.470588235,1,0.9412,0
2,2,0,3,4,1,0,3,2,2,11,0,0,1,0.833333333,0,0,4.5,0,0,0
8,1,1,31,42,14,5,30,6,0.761904762,207,1,1,0,0.35,0,0,24.5,1,0.875,0
1,1,0,6,1,0,4,2,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
15,3,0,5,22,71,1,5,13,0.785714286,113,1,0,0.729166667,0.35,2,6,6.333333333,2,0.9333,0
4,1,0,7,4,6,6,2,4,2,4,0,0,0,0.583333333,0,0,0,1,1,0
4,1,0,3,9,0,0,3,4,0.333333333,34,1,0,0,0.5,0,0,7.25,2,1,0
14,1,31,35,28,49,33,2,7,0.807692308,200,1,0,0,0.380952381,0,0,12.85714286,3,1.2143,1
4,1,0,8,10,6,4,4,3,2,31,0,0,0,0.3125,0,0,6.75,1,0.75,0
0,1,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2
5,4,0,6,12,10,1,5,5,2,28,0,0,0.974522293,0.6,1,1,4.6,1,0.8,0
6,1,0,6,11,0,6,0,6,0.4,57,1,0,0,0.5,0,0,8,2,0.8333,0
1,1,0,4,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,0
6,2,0,2,14,0,2,0,6,0,52,1,0,0.692307692,0.5,0,0,7.5,1,0.6667,1
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,0,14,18,4,2,12,2,0.666666667,88,1,0,0,0.833333333,0,0,20.75,2,0.75,0
5,1,0,4,11,10,1,3,4,2,56,0,0,0,0.44,0,0,10.2,1,0.8,2
2,3,0,6,7,0,1,6,2,0,24,1,1,0.956521739,0.6,0,0,10.5,1,0.5,0
7,1,0,11,19,9,0,11,7,0.791666667,75,1,3,0,0.357142857,0,0,9.142857143,1,0.8571,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,5,0,4,8,0,1,3,3,0.5,32,1,2,0.894736842,0.555555556,0,0,9,1,0.6667,0
2,1,0,12,7,1,8,4,1,2,23,0,0,0,0.5,0,0,10.5,1,0.5,0
3,1,0,4,6,0,2,2,2,0.5,33,1,1,0,0.666666667,0,0,9,2,1,0
12,0,0,13,23,32,0,13,10,0.818181818,138,0.8,1,0,0.272727273,0,0,10.08333333,8,1.4167,0
3,0,0,8,11,1,1,7,2,0.5,41,1,0,0,0.75,0,0,12.33333333,1,0.3333,0
14,1,0,25,62,85,4,21,11,1.048076923,461,0.125,0,0,0.192307692,0,0,31.35714286,6,1.9286,0
3,3,0,4,8,0,1,4,1,0,26,1,1,0.916666667,0.555555556,1,1,7.333333333,1,0.6667,0
3,1,0,3,6,3,0,3,3,2,13,0,0,0,0.333333333,0,0,3.333333333,1,1,0
3,4,1,9,15,3,1,8,1,2,52,0,0,0.948717949,0.666666667,2,2,16.33333333,1,0.6667,0
13,2,1,15,25,28,3,13,11,0.611111111,120,1,1,0.696969697,0.241758242,0,0,8,1,0.7692,0
3,5,0,5,4,0,2,3,3,0.5,21,1,2,0.894736842,0.5,0,0,5.333333333,1,0.6667,0
3,1,0,4,5,3,0,4,3,2,12,0,0,0,0.833333333,0,0,3,1,0.6667,0
10,1,0,9,38,45,3,7,8,2,216,0,0,0,0.283333333,0,0,20.6,4,2.4,0
2,5,0,2,6,0,1,1,2,1,21,1,0,0.944444444,0.75,0,0,8.5,1,0.5,0
27,4,0,18,60,291,3,17,24,0.820512821,303,1,3,0.872928177,0.116049383,2,3,10,2,0.8889,7
5,1,0,4,5,10,4,0,5,2,5,0,0,0,1,0,0,0,1,1,1
9,1,0,4,17,24,0,4,5,0.375,125,1,2,0,0.444444444,0,0,12.66666667,2,1,0
10,1,0,3,16,27,1,2,10,0.666666667,69,1,1,0,0.425,0,0,5.6,1,0.7,0
10,4,0,9,18,39,3,9,10,0.666666667,68,1,0,0.777777778,0.35,1,1,5.7,1,0.8,0
2,1,0,3,2,1,2,1,2,2,2,0,0,0,1,0,0,0,1,1,0
7,1,0,10,25,11,8,2,6,0.75,166,1,0,0,0.5,0,0,21.85714286,1,0.5714,0
14,1,1,10,71,41,4,7,7,0.512820513,799,1,0,0,0.316239316,0,0,55.85714286,14,3.3571,3
6,1,0,4,9,9,0,4,5,0.2,41,1,0,0,0.416666667,0,0,5.666666667,2,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
49,1,0,9,86,576,1,8,37,0.868589744,758,0.769230769,0,0,0.143939394,0,0,14.20408163,7,1.7143,0
10,4,0,7,17,13,1,6,10,0.555555556,82,1,1,0.95625,0.375,1,1,7,2,0.8,1
4,2,0,7,17,0,1,6,4,0.5,78,1,1,0.5,0.4,0,0,18,2,1,0
3,1,0,63,3,3,62,2,3,2,3,0,0,0,0.555555556,0,0,0,1,1,0
31,1,1,16,59,437,1,15,28,0.855555556,251,1,2,0,0.133995037,0,0,7,2,1,3
9,3,0,35,101,8,1,35,3,0.59375,571,0.75,2,0.740740741,0.234375,1,1,62,10,1.7778,0
17,2,0,9,20,124,4,7,13,0.75,99,1,1,0.730769231,0.235294118,1,3,4.764705882,1,0.8235,0
2,1,0,2,3,1,1,1,1,2,7,0,0,0.857142857,0.75,0,0,2.5,1,0.5,0
4,2,0,11,20,0,2,9,3,0,94,1,0,0.625,0.583333333,1,2,22,3,1.25,0
1,1,0,27,1,0,24,3,1,2,1,0,0,0,1,0,0,0,1,1,0
6,2,0,4,17,0,0,4,4,0,80,1,0,0.722222222,0.444444444,1,1,12.16666667,3,1.1667,0
29,3,0,5,56,318,1,5,29,0.86038961,342,1,0,0.852272727,0.199233716,1,3,10.4137931,1,0.8966,1
13,1,0,24,41,78,15,9,12,2,218,0,0,0,0.461538462,0,0,15.76923077,2,1.2308,1
1,5,0,2,6,0,1,1,1,2,14,1,0,1,1,0,0,12,0,0,0
8,3,0,16,56,14,1,16,4,0.928571429,297,0.25,0,0.769230769,0.371428571,0,0,35.625,6,2.25,0
6,3,0,6,15,13,1,6,4,0.4,54,1,1,0.782608696,0.444444444,1,1,7.833333333,1,0.8333,0
6,0,0,8,29,13,1,7,3,0.9,143,1,0,0,0.357142857,0,0,22.5,1,0.6667,0
1,1,0,21,1,0,21,0,1,2,1,0,0,0,1,0,0,0,1,1,0
6,2,6,11,14,7,6,5,5,0.6,49,1,2,0.722222222,0.375,0,0,6.833333333,2,1,0
3,2,0,8,16,3,1,7,2,2,44,0,0,0.875,0.75,0,0,13.66666667,1,0.3333,0
12,1,3,8,25,46,6,7,8,0.454545455,102,0,1,0,0.226190476,0,0,7.416666667,2,1.1667,0
4,1,0,2,5,0,1,2,4,0.666666667,28,1,2,0,0.4375,0,0,5.25,1,0.75,0
20,3,0,18,53,126,4,17,14,0.782894737,299,1,2,0.739130435,0.16,1,1,13.55,2,1.05,0
4,0,2,5,24,6,2,3,1,2,93,0,0,0,0.4,0,0,22.25,4,1.5,0
2,4,2,7,4,1,2,5,2,1,17,0,1,1,0.875,0,0,7,0,0,0
2,3,0,4,4,1,0,4,1,2,9,0,0,0.916666667,0.75,1,1,3.5,1,0.5,0
1,4,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,0
3,5,0,2,6,3,1,1,3,2,16,0,0,1,0.777777778,0,0,4.333333333,0,0,0
23,1,0,11,40,161,10,1,22,0.829545455,249,1,0,0,0.286956522,0,0,9.47826087,3,1.087,0
15,1,0,19,32,61,3,17,10,0.89010989,189,1,1,0,0.1875,0,0,10.73333333,1,0.8667,0
4,1,0,3,23,6,0,3,2,2,93,0,0,0.8,1,1,2,22.25,1,0.75,0
8,2,0,8,15,4,2,8,7,0.619047619,79,1,0,0.793103448,0.325,0,0,8.5,2,0.875,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
4,3,3,10,8,6,10,0,4,2,20,0,0,1,0.666666667,0,0,4,0,0,0
2,0,0,4,6,1,0,4,2,2,18,0,0,0,1,0,0,8,1,0.5,0
3,3,0,4,8,3,0,4,2,2,24,0,0,0.967213115,0.444444444,1,2,7,1,0.6667,0
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0
4,2,0,1,6,0,0,1,4,0.333333333,22,1,0,0.666666667,0.583333333,0,0,4.25,1,0.5,0
14,1,0,10,42,73,0,10,10,0.461538462,192,1,0,0,0.306122449,0,0,12.57142857,2,1.0714,0
20,1,0,20,85,178,9,13,13,0.881578947,587,1,2,0,0.210526316,0,0,28.15,9,1.7,0
25,2,0,14,39,288,5,10,20,0.854166667,204,0.5,0,0.633333333,0.246666667,1,3,7.08,1,0.88,0
15,1,0,1,18,95,1,0,12,0.285714286,106,1,0,0,0.377777778,0,0,5.933333333,1,0.9333,0
5,5,0,6,13,6,4,2,3,0.916666667,67,1,0,0.826086957,0.36,0,0,11.8,2,1,0
7,2,0,10,15,17,2,9,4,0.666666667,61,1,0,0.684210526,0.261904762,1,1,7.428571429,1,0.8571,0
1,1,0,5,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,17,2,1,16,1,2,2,2,0,0,0,0.7,0,0,0,1,1,0
2,5,0,2,6,0,1,1,2,1,22,1,0,0.944444444,0.666666667,0,0,9,1,0.5,0
4,1,0,8,18,2,1,7,2,0.5,131,1,2,0,0.777777778,0,0,31.25,3,1.5,0
10,1,0,5,29,33,0,5,5,0.777777778,235,1,1,0,0.422222222,0,0,22.2,4,1.2,0
6,3,0,12,22,0,2,12,1,0.55,99,1,1,0.846153846,0.3,1,1,14.83333333,1,0.6667,0
9,3,0,21,46,2,2,21,2,0.65625,272,1,1,0.740740741,0.28125,1,1,28.33333333,2,0.8889,0
10,3,0,15,40,39,4,12,5,0.777777778,177,1,0,0.741935484,0.271604938,0,0,16.6,5,1.5,2
64,2,2,28,127,1836,12,25,50,0.883876358,1188,1,2,0.273809524,0.096119929,0,0,17.265625,6,1.2031,4
12,1,0,19,57,30,1,18,7,0.772727273,479,1,1,0,0.418181818,0,0,38.41666667,17,3.25,0
9,3,0,5,20,16,1,5,7,0.25,87,1,1,0.85,0.311111111,1,2,8.555555556,1,0.6667,0
5,4,0,7,15,10,1,7,5,2,41,0,0,0.98136646,0.466666667,2,3,7.2,1,0.6,1
3,3,0,3,10,3,0,3,2,2,30,0,0,0.980769231,0.666666667,0,0,9,1,0.3333,0
18,5,0,16,63,59,1,16,10,0.764705882,389,1,1,0.693877551,0.209150327,1,1,20.16666667,3,0.9444,0
9,2,0,7,17,24,0,7,9,0.6875,78,1,1,0.2,0.407407407,0,0,7.444444444,1,0.8889,0
5,4,0,9,21,8,0,9,3,0.5,91,1,1,0.902439024,0.44,2,5,17,1,0.8,0
4,1,0,6,7,4,1,5,4,0.333333333,23,1,0,0,0.5,0,0,4.5,1,0.75,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2,0,12,34,21,3,11,4,0.8625,180,1,1,0.590909091,0.2,1,1,14.63636364,3,1.0909,0
1,1,0,135,1,0,134,1,1,2,1,0,0,0,1,0,0,0,1,1,0
13,1,0,6,43,76,3,3,11,0.916666667,180,1,0,0,0.1,0,0,12.76923077,1,0.8462,2
31,1,0,24,52,459,11,23,31,0.9,165,1,3,0,0.148387097,0,0,4.225806452,1,0.9677,0
